branch,avl_available,q_mlp,mtow_mlp,S_ref_mlp,p0_mlp,dihedral_mlp,image,q_avl,mtow_avl,S_ref_avl,p0_avl,dihedral_avl
normal_1_1,True,77.71592328828208,1351.553209939384,32.854921,41.13700988474098,48.857982,top_view_by_branch\normal_1_1_topview_fixedpoint_partial.png,74.79361003902633,1325.574540090563,27.594021,48.03846964132422,45.508333
normal_1_2,True,81.26385972013738,1364.481006827775,29.140932,46.823519811506884,0.0,top_view_by_branch\normal_1_2_topview_fixedpoint_partial.png,77.48002485135935,1357.813327021379,29.793678,45.57387399505959,0.0
normal_1_3,True,78.67548440615678,1360.844948029718,33.815187,40.24360261647283,41.206167,top_view_by_branch\normal_1_3_topview_fixedpoint_partial.png,75.60336753547539,1308.394461322762,26.604316,49.17978200690302,50.0
normal_2_1,False,67.50073578996067,1195.202471089434,22.692837,52.668710883942545,50.0,top_view_by_branch\normal_2_1_topview_fixedpoint_partial.png,,,,,
normal_2_2,False,70.40506130799398,1194.433558191424,17.47062,68.36812649988518,0.0,top_view_by_branch\normal_2_2_topview_fixedpoint_partial.png,,,,,
normal_2_3,False,68.4677737777102,1185.490555546476,21.43711,55.30085704399874,41.626014,top_view_by_branch\normal_2_3_topview_fixedpoint_partial.png,,,,,
normal_3_1,False,66.80115550588181,1176.117819699365,20.714079,56.77866825261046,47.168274,top_view_by_branch\normal_3_1_topview_fixedpoint_partial.png,,,,,
normal_3_2,False,69.85445475151585,1198.568640964183,19.727326,60.75677164579644,0.0,top_view_by_branch\normal_3_2_topview_fixedpoint_partial.png,,,,,
normal_3_3,False,67.2198440031893,1175.726147255031,20.410517,57.603937580563546,44.607698,top_view_by_branch\normal_3_3_topview_fixedpoint_partial.png,,,,,
duck_1_x,False,84.28015156521438,1370.088494029157,29.165655,46.9760920517354,0.0,top_view_by_branch\duck_1_x_topview_fixedpoint_partial.png,,,,,
duck_2_x,False,73.510004672778,1201.292373183335,19.232175,62.46263738674045,0.001638,top_view_by_branch\duck_2_x_topview_fixedpoint_partial.png,,,,,
duck_3_x,False,73.44977860537519,1191.896585795746,17.387971,68.54719195216889,0.0,top_view_by_branch\duck_3_x_topview_fixedpoint_partial.png,,,,,
